DBA	LOCATION
HATTRICKS IRISH SPORTS PU	840 BRYAN RD
HWY P MARKET AND MEATS	464 HIGHWAY P
SPRNGHLL STS ST LOUIS ARP	3099 RIDER TRL S
JERSEY MIKES #25017	12676 DORSETT RD STE A
HOT SHOTS BRIDGETON	12154 SAINT CHARLES ROCK
COURTYARD ST. LOUIS ARPRT	3101 RIDER TRL S
COMPANION BAKING WESTPORT	2331 SCHUETZ RD
SOURCE JUICERY	228 N MAIN ST
3 OAKS - MERIDIAN VLG CC	27 AUERBACH PL
1818 CHOPHOUSE	6170 BENNET DRIVE
MARKET BASKET	447 S BUCHANAN
SAMM'S LAST CHANCE SALOON	1013 N MAIN ST
SNARFS MX	614 WASHINGTON AVE
MAGNOLIA HOTEL ST LOUIS	421 NORTH 8TH STREET
HOTEL INDIGO ST LOUIS	501 OLIVE ST
A-1 FOOD SUPPLY	1601 N 7TH ST
LIONS CHOICE CHIPPEWA #16	6630 CHIPPEWA ST
MARY QUEEN AND MOTHER	7601 WATSON
3 OAKS - LACLEDE OAKS	703 S LACLEDE STATION RD
REGINA CLERI HOME PREMIER	10 ARCHBISHOP MAY DRIVE
KC #301539 KIRKWOOD	341 SOUTH KIRKWOOD ROAD
STRAUB'S	211 W LOCKWOOD
ART OF ENTERTAINING	8796 BIG BEND RD
THE PARKMOOR DRIVE IN	220 W LOCKWOOD AVE
STORMING CRAB	1242 S KIRKWOOD RD
3 OAKS - BREEZE PARK	600 BREEZE PARK DR
TAP AND TABLE	1048 WOLFRUM RD
CJS RESTAURANT AND BAR	2974 STATE HIGHWAY K
JERSEY MIKES #25005A	2508 HIGHWAY K
TACOS4LIFE MO001 OFALLON	2998 STATE HIGHWAY K
CASA TEQUILA	905 CALEDONIA DR
JERSEY MIKE'S #25031	1039 SOUTHERN RIDGE LN
HALFTIME PUB AND GRILL	2129 PARKWAY DR
PASTA HOUSE UNION FR	101 E INDEPENDENCE DR
MGM SUNSET HEALTHCARE	400 W PARK AVE
TILTED SKILLET UNION	500 US HIGHWAY 50
TIPSY KEG	516 W FRONT ST
TILTED SKILLET	323A W 5TH ST
FSC 520 ST FRANCIS BORGIA	1000 BORGIA DR
GUFFEYS	1451 HIGH ST
TACO LOCO	2016 WASHINGTON XING
JERSEY MIKES #25032	3061 PHOENIX CENTER DR
OASIS LANES	120 DELL CENTRE WAY
MONARCH BISTRO AT DG	14767 N OUTER 40 RD
STEVES HOT DOGS DISTRICT	17089 N OUTER 40 RD
KINWELL AT CHESTERFIELD	16300 JUSTUS POST RD
FAIRFIELD INN ST LOUIS-CH	1065 CHESTERFIELD PKWY
HYATT PLACE CHSTRFLD COMP	333 CHESTERFIELD CTR EAST
CAE #901 CHESTERFIELD	15405 OLIVE BLVD
VIVIANOS WEST	150 FOUR SEASONS CENTER
EX WENTZVILLE STLWS	1100 LODORA DRIVE
JERSEY MIKES #25016	1570 WENTZVILLE PKWY
WEST ALLEN GRILL	9 W ALLEN ST
BEAR CREEK GOLF CLUB	158 BEAR CREEK DR
TACO LOCO 2	100 S MAIN ST
CASA TEQUILA	1000 WARRENTON OUTLET CTR
MK RANCH BAR AND GRILL	1000 WARRENTON SHOPPES
HOLDAY INN XPS WARRENTON	1008 NORTH HIGHWAY 47
MISS SHERIS 3/SOTHFLD	5406 SOUTH LINDBERGH
BARTOLINOS SOUTH	5914 S LINDBERGH
NAZARETH LIV CTR SR CARE	2 NAZARETH LANE
NAZARETH LVNG CTR VILLAGE	3 NAZARETH LANE
FAIRFIELD INN & STS STL S	4318 BUTLER HILL RD
DELMAR GARDENS SOUTH	5300 BUTLER HILL RD
GARDEN VILLAS SOUTH	13457 TESSON FERRY RD.
DUKES BBQ SHACK LLC	100 ASH ST
TWIN OAKS AT HERITAGE POI	228 SAVANNAH TERRACE DR
SUNRISE RANCH	909 MAIN PLAZA DR
HARRY JS STEAKHOUSE	300 MAIN ST
FIVE FINGER WINGS	171 MOSCOW SPRINGS PLZ
SUGAR CREEK ALF	161 PROFESSIONAL PARKWAY
SAMIS RESTAURANT	190 S LINCOLN DR
LIONS CHOICE TROY #82	4 MERLIN DR
ZADOCK'S RESTAURANT	# 7 TROY SQUARE
FACTORY DINER II	814 MARKET ST
SOMO S E MO MENTAL HEALTH	1010 WEST COLUMBIA
SOMO SEMO MEN HTH CANTEEN	1010 W COLUMBIA ST
HOLIDAY INN EXP FARMINGTN	820 MARKET ST
MACS TIME OUT	315 BELLE STREET
FSC 710 MARQUETTE HS	219 E 4TH ST
TONYS	102 W 9TH ST
OSF ST ANTHONY HEALTH CTR	1 ST ANTHONY WAY
ALTON SPORTS TAP	3812 COLLEGE AVE
GUMBO TO GEAUX	1808 WASHINGTON AVE
VILLAGE INN PANCAKE HOUSE	2611 COLLEGE AVE
TAQUERIA MAYA	2621 COLLEGE AVE
POLLYS FAMILY RESTAURANT	15 S STANLEY RD
TONAS MEXICAN RESTAURANT	1221 STRASSNER DR
SPRINGHILL SUITES BRENTWD	1231 STRASSNER DR
POST SPORTS MAPLEWOOD #1	7372 MANCHESTER ROAD
GUSS ST LOUIS	7434 MANCHESTER RD
FAROTTOS ROCK HILL	9525 MANCHESTER RD
CARLS IV	9033 MANCHESTER RD
HOMEWOOD STS STL GALLERIA	8040 CLAYTON RD
COURTYARD RICHMOND HEIGHT	8101 DALE AVENUE
FAVAZZAS ON THE HILL	5201 SOUTHWEST AVE
RITZ CARLTON  ST LOUIS	100 CARONDELET PL
NUDO HOUSE DELMAR	6105A DELMAR BLVD
CAFE NAPOLI RESTAURANT	7754 FORSYTH BLVD
PASTA HOUSE CO CATERING	2200 59TH STREET
ALLEGRO IN RICHMOND HGTS	1055 BELLEVUE AVE
BEAST WASH U	1 BROOKINGS DR
MAIN ST CAFE	1601 W MAIN ST
BENEDICTINE LVN CM SHRINE	726 COMMUNITY DR
GATEWAY GRIZZLIES	2301 GRIZZLIE BEAR BLVD
THE ROUND TABLE CAFE	11 N 64TH ST
THE EDGE	701 S BELT W
ECKERTS - RESTAURANT	951 S GREENMOUNT ROAD
ECKERTS - BAKERY	951 S GREENMOUNT ROAD
LOS AMIGOS BELLEVILLE	2630 MASCOUTAH AVE
SILVER CREEK SPORTS AND S	2520 MASCOUTAH AVE
HOKKAIDO SEAFOOD BUFFET	4580 N ILLINOIS ST
GEOS WINGS AND MORE	4307 W MAIN ST
TRIPLE STICKS FOODS, LLC	9200 W MAIN ST
CMPS GARDEN PL WATERLOO	735 COLUMBIA AVE
TOP SHOOTERS	531 OLD STATE ROUTE 3
ACORNS GOLF LINKS	3933 AHNE ROAD
CASA ROMERO	512 S MARKET ST
TEQUILA SMITHTON	500 S MAIN ST
NEXT UP	341 MARKETPLACE DR
TEQUILA MEXICAN RESTAURAN	341 MARKETPLACE DRIVE
SUNRISE MILLSTADT	548 E WASHINGTON ST
JERSEY MIKES #25023	5684 TELEGRAPH RD STE
JERSEY MIKES #25022	5450 SOUTHFIELD CTR
3 OAKS - LACLEDE GROVES	723 S LACLEDE STATION RD
GRANTS FARM	10501 GRAVOIS RD
HOT SHOTS WEBSTER	1239 LACLEDE STATION RD
SAMS STEAKHOUSE	10205 GRAVOIS RD
JERSEY MIKES #25001B	8567 WATSON RD STE B
MGM SHERBROOKE VILLAGE	4005 RIPA AVE
GREAT HEART BREWING COMPA	9514 OLIVE BLVD
MCKNIGHT PLACE EXTEND PMR	2 MCKNIGHT PLACE
MCKNIGHT PLACE ALF	3 MCKNIGHT PLACE
GATESWORTH	1 MCKNIGHT PLACE
STRAUB'S CLAYTON	8282 FORSYTHE
HAMPTON INN CLAYTON	216 N MERAMEC AVE
WINSLOW'S TABLE	7213 DELMAR BLVD
POMODOROS INC	3618 JEFFCO BLVD
DOUGH DEPOT	216 MARKET STREET
BLUE OWL KIMMSWICK	6116 2ND STREET
HERRELL'S MARKET	1015 MAIN ST
SMOKEE MO'S	606 JEFFCO BLVD
HOT SHOTS ARNOLD	131 ARNOLD CROSSROADS CTR
HOLTIES PUB	1374 OLD STATE ROAD M
EX ST LOUIS STLML	4250 MID AMERICA LN
LIONS CHOICE ARNOLD #20	943 JEFFCO BLVD
REVELA AT OFALLON	1022 E WESLEY DR
AD 1290 SHILOH	3240 GREEN MOUNT CROSSING
FRIDAS COCINA	823 LINCOLN HIGHWAY SUITE
HOLIDAYI INN FAIRVIEW HTS	313 SALEM PLACE
COUNTRY INN FAIRVIEW HTS	140 LUDWIG DR
URBAN AIR FAIRVIEW HGHTS	65 LUDWIG DR
RED APPLE-MARYVILLE	2625 N CENTER
BOOGIES II RESTAURANT N S	2082 VADALABENE DR
THE WOODEN NICKEL PUB AND	171 S MAIN ST
TROY FAMILY RESTAURANT	307 BARGRAVES BLVD
ALFONZOS PIZZARIA	611 EDWARDSVILLE RD
GLEN ECHO COUNTRY CLUB	3401 LUCAS AND HUNT RD
MGM ARBOR HILL CARE REHAB	800 CHAMBERS RD
FSC 150 ST CATHERINE	3350 SAINT CATHERINE ST
LAKEVIEW POST ACUTE	1201 GARDEN PLAZA DR
SHISHKOBOB HOUSE AND MORE	322 TAYLOR RD
MGM FLORISSANT VAL HEALTH	1200 GRAHAM RD
MALLY'S MARKET	7445 W. FLORISSANT
UPTOWN MARKET	100 SHEPLEY DR
SENIOR SERVICES PLUS PMR	2603 N RODGERS
PETES LOUNGE	100 BIG ARCH ROAD
HCSG BEVER41 BEVERLY FOUN	6301 HUMBERT RD
ARANDAS MIX COCINA	3200 GODFREY RD
TERRAPIN PLACE PIZZA	101 S STATE ST
CHARCOAL HOUSE TAVERN	818 W CARPENTER ST
NICKS PANCAKE HOUSE	891 SOUTH STATE ST
OLIVE BRANCH	1668 S STATE ST
FOUNTAIN HILL	1500 W MAIN ST
TACO BUDDHA KWOOD	11111 MANCHESTER RD
JOHNNY HIDEOUT	3367 HIGH RIDGE BLVD
WALLIS MOTO CEDAR HILL	7005 OLD HIGHWAY 30
FOUR LAKES	5925 PLANTATION DR
POGOLINOS DESOTO	530 N 2ND ST
EL LOBO ROJO	106 N MAIN ST
FSC 377 ST FRANCIS CABRIN	3022 OREGON AVE
SNARFS SLU	374 S GRAND BLVD
TACOS4LIFE MIDTOWN	3763 FOREST PARK AVE
HUMPHREYS	3700 LACLEDE AVE
JAZZ BISTRO	3536 WASHINGTON AVE
FOX ASSOCIATES LLC	529 N GRAND
BEST STEAK HOUSE	516 N. GRAND
ANGAD ARTS HOTEL ST LOUIS	3550 SAMUEL T SHEPARD DR
BAILEYS RANGE ON SHAW	4175 SHAW BLVD
03015900 EHC INST ST LS	4455 DUNCAN AVE
MGM OAK PARK CARE CENTER	6637 BERTHOLD AVE
QDOBA #2930 ST LOUIS UNIV	20 N GRAND BLVD
JERSEY MIKES #25025	1230 S KIRKWOOD RD
TWISTED TREE LLC	10701 WATSON ROAD
KINWELL AT SUNSET HILLS	12470 ROTT RD
DULANYS GRILLE & PUB	9940 KENNERLY CENTER
DOUBLE D PIZZERIA	13150 TESSON FERRY RD
THE MAIN HOUSE	500 S MAIN ST
MOUDYS BAR AND GRILL	2151 WEST TERRA
TAORMINA'S SICILIAN RESTA	892 E CHERRY ST
EL MAGUEY LAKE STL	6125 RONALD REAGAN DR
SAVANNAH'S RESTAURANT AND	6770 MALL DR
BTOWN DINER	312 BETHALTO DRIVE
VENECIAS	1205 E EDWARDSVILLE RD
AMIGO SOLE PNTO	6102 DELMAR BLVD
CRUSH COCKTAILS PNTO	4128 MANCHESTER AVE
ROCKWELL BREWING PNTO	1320 S VANDEVENTER AVE
NO ORDINARY RABBIT PNTO	1621 TOWER GROVE AVE
FRIENDLYS BAR PNTO	3503 ROGER PL
X GOLF PNTO	4476 LEMAY FERRY RD
TIDY JONS PNTO	12 FERRY ST
PINK MARGARITAS PNTO	1424 JEFFCO BLVD
OAT AND HONEY PNTO	624 N NEW BALLAS RD
TOAST AND THYME PNTO	231 S BEMISTON AVE
KICKIN CRAB PNTO	9616 OLIVE BLVD
PIERCE CREEK PNTO	10405 OLD OLIVE ST RD
SAWMILL DES PERES PNTO	1090 OLD DES PERES RD
SAUCI PNTO	1990 1ST CAPITOL DR
LA BELLE VIE PNTO	1200 N 2ND ST
PANTERAS PIZZA PNTO	7209 N LINDBERGH BLVD
BJ'S BAR PNTO	184 WASHINGTON ST
ECLIPSE SIG EP	405 KENTUCKY BLVD
BETA SIGMA PSI	206 S COLLEGE AVE
SIGMA CHI - MIZZOU	500 S COLLEGE AVE
FLY OVER  COLUMBIA	212 E GREEN MEADOWS RD
TROPICAL LIQUORS SOUTH	3805 S PROVIDENCE RD
SOUTHSIDE PIZZA	3908 PEACHTREE DR
HARTSBURG GRAND	30 S 2ND ST
THEOS MIDTOWN	620 W MCCARTY ST
PREFERRED FAMILY HC ADAMS	101 ADAMS ST
PAPA D'S MAN CAVE LLC	9012 RAILROAD ST
THE NEIGHBORHOODS TIGER	3003 FALLING LEAF COURT
BLUFF CREEK TERRACE	3104 BLUFF CREEK DR
TRU COLOMBIA	4401 S PONDEROSA ST
O2B KIDS WEST COLUMBIA	4300 RAINBOW TROUT DR
DELTA GAMMA - MU CHAPTER	900 S PROVIDENCE RD
GOLDEN CORRAL #664	3421 CLARK LN
ROCHEPORT GENERAL STORE	202 CENTRAL ST
HARTMANN VILLAGE	615 RANKIN MILL LN
COOPER COUNTY LAW ENFOR	200 MAIN
COCO LOCO CUBAN CAFE	310 MAIN ST
WJ'S	418 6TH STREET
KEEP IT FIT KITCHEN	416 HIGHWAY 5 AND 40
EL MARIACHI	301 S MILLER ST
GUERRERO MEXICAN CUISINE	27 N LAFAYETTE AVE
MEXICO LINDO	346 N LAFAYETTE
BECKETTS LLC	510 1ST STREET
LAFAYETTE ON THE SQUARE	104 N CHURCH ST
CHERRY STREET CELLAR	505 CHERRY ST
FORUM 8	1209 FORUM KATY PKWY
FULTON DINER	2101 N BLUFF ST
BEKS	511 COURT ST
BROOKLYN PIZZA	501 COURT ST
POST OFFICE BAR AND GRILL	10 W 5TH ST
1851 UNDERGROUND TAP & GR	111 E 5TH STREET
OHANA PIZZERIA	61 W 2ND ST
MISSOURI BPT CNV-DSTR RLF	2252 HIGH POINT RD
EL POBLANO GRILL CANTINA	1850 SOUTHRIDGE DR
BOGEYS	14005 REDFIELD DR
BANDIDOS MO LLC	434 U.S. 50
MIDPOINT CAFE	1002 15TH ST
MAXWELL HOUSE CAFE	104 W. SECOND ST.
PALESTINE GRADE SCHOOL	205 S WASHINGTON
COUNTRY VIEW INN	100 ABRAHAM LINCOLN D ST
SC ROBINSON RHAB NRSNG	600 ROBINWOOD DR
TUSCANY	1500 W LOCUST ST
GOPHER GRILL	206 W JEFFERSON AVE
HOMEWOOD GRILL	1002 W FAYETTE AVE
COUNTRY RHODES LLC	305 PROFESSIONAL PARK AVE
FLORAS DINER	800 N OLIVE RD
DON LUNA CARBONDALE	2141 S ILLINOIS AVE
BEST WESTERN SALUKI 14191	801 N GIANT CITY RD
WALKERS BLUFF CASINO RST	777 WALKERS BLUFF WAY
EL JALISCO MURPHYSBORO	501 N 14TH ST
TRIPLE E BBQ #1	12146 LAKE OF EGYPT RD
R2R RIVER TO RIVER MARION	1515 E DEYOUNG ST
R2R THE ANCHOR	1515 SANDBAR DR
NEW RED ONION	166 W LANE ST
SC GALLATIN MANOR	900 W RACE ST
FERRELL HOSPITAL	1201 PINE STREET
VILLAGE PIZZA AND GRILL	201 E MAIN ST
SIH HERRIN HOSPITAL	201 SOUTH 14TH
EL JALISCO	504 N PARK AVE
BACKYARD BURGERS	2807 OUTER DR
TRICO JUNIOR AND SENIOR H	16533 HIGHWAY 4
TRICO ELEMENTARY SCHOOL	16343 HIGHWAY 4
PARKWOOD MEADOWS ALF	805 PARKWOOD DR
PARKWOOD MEADOWS MC	807 PARKWOOD DR
ST. NICKS BREWERY	111 FERRY ST
LOS AMIGOS	106 W STACEY ST
DIXIE CREAM DONUTS AND	510 W MAIN
COZY TABLE RESTAURANT	1514 N MAIN ST
LAS OLLAS	205 W EGYPTIAN AVE
DON LUNA 2	1012 W MAIN ST
EL JALISCO JOHNSTON CITY	1309 GRAND AVE
TRIPLE E BBQ II	706 WEST ROBINSON STREET
DON LUNA MARION	407 EAST MAIN
20'S HIDEOUT STEAK	2606 W MAIN
SLIP IN SALOON	532 N KASKASKIA ST
BONNIE CAFE NASHVILLE IL	834 N MILL ST
CENTRALIA HIGH 200	2100 E CALUMET
TEQUILAS	103 E BROADWAY
SANDOVAL GRADE SCHOOL	300 PERRY AVE
BEST WESTERN PLUS CENTRAL	8145 JOLLIFF BRIDGE RD
JERRYS RESTAURANT & BAR	835 WABASH
BLUEROOM TAVERN	214 NORTH MAIN
SUNSHINE CENTER	1217 PERKINS AVE
SALEM TOWNSHIP HOSPITAL	1201 RICKER RD
IRON SADDLE RESTAURANT	3734 CROSS RD
TEQUILA OF MCLEANSBORO	1105 E RANDOLPH ST.
MAIN STREET DINER	109 W MAIN ST
THE FRONT PORCH	608 E RANDOLPH ST
MAIN STREET CAFE	214 EAST MAIN STREET
WELLS ELEMENTARY SCHOOL	704 W NORTH ST
CACTUS CUSINE	805 W 3RD ST
HVS FOOD AND SPIRITS	317 SOUTH WEST STREET
ADAMS POINTE ALF	213 NORTH 48TH STREET
ARBORS ADAMS POINTE MC	201 NORTH 48TH
CENTENNIAL POINT	3440 HEDLEY ROAD
CENTENNIAL POINTE MC	3430 HEDLEY ROAD
COMFORT INN STES HANNIBAL	4000 MARKET ST
DOS PRIMOS BOWLING GREEN	1237 S BUSINESS 61
BOWLING GREEN DINER	19 S BUSINESS 61
MI MARGARITA	6 N COURT ST
DOS PRIMOS LOUISIANA 1	3215 GEORGIA ST
K CS	3424 W GEORGIA ST
SOMO WOMEN E DIAG & CTN C	1101 E US HIGHWAY 54
FIRST BITE	3650 STARDUST DR
SAINTS AVENUE CAFE CANTON	1703 OAK ST
PRIMOS	107 N 4TH ST
FSC 10 SPECIALIZED CATRNG	8534 WATSON RD
ROOSTER'S GRAND	3150 SOUTH GRAND BLVD
PASTA HOUSE CO KIRKWOOD	10312 MANCHESTER RD
PASTA HOUSE CO ELLISVILLE	15601 MANCHESTER RD
FSC 201 DESMET HIGH SCHL	233 N NEW BALLAS RD
CHUCKS HOT CHICKEN	11648 DORSETT RD
FSC 203 ST LOUIS UNIV HS	4970 OAKLAND AVE
SLEEP INN ST ROBERT	562 OLD ROUTE 66
WILLOW RIDGE CATERING	2929 GREEN MOUNTAIN DR
COURTYARD SPRINGFLD AIRPT	3527 W KEARNEY ST
LAQUINTA INN STS AIRPORT	2445 N AIRPORT PLAZA AVE
PREFERRED FAM HC JOPLIN	5620 W. WILDWOOD PARKWAY
AMERICOLD	1331 CIVIL WAR RD
COURTYARD CAPE GIRARDEAU	400 BROADWAY ST
FAIRFIELD INN CAPE GIRARD	433 CAPE WEST CROSSINGS
UNIV SCHOOL YOUNG CHILDRN	2089 BESSIE ST
AUBURN CREEK	2910 BEAVERCREEK DRIVE
AUBURN CREEK MC	2906 BEAVER CREEK DR
CHAFFEE NC AMERICARE SYS	12273 STATE HWY 77
LA BONNE MASION	226 PLAZA DRIVE
SUPER 8 BY WYNDHAM	310 S Story St
SOMO SHADY GROVE ST SCHL	2400 HIGH ST
SOMO S E MO RESIDENT SERV	2351 KANELL BOULEVARD
CHUCKS HOT CHICKEN OFALLO	2758 HIGHWAY K
TIMBER CREEK GRILL	1120 TECHNOLOGY DR STE 10
MESSINA FARMS LLC	5535 STATE HIGHWAY N
TOUCHDOWN SPORTS BAR	2922 HWY K
SWEET SPOT CAFE LLC	3586 ADIE RD
OL HENRYS RESTAURANT	8600 AIRPORT RD
LOTA CHICKEN	14065 NEW HALLS FERRY RD
NEW YORK GRILL LINDBERGH	540 NORTH HIGHWAY 67
NY GRILL HOWDERSHELL	158 HOWDERSHELL RD
SKATE CITY COACHLITE	3754 PENNRIDGE DR
NEW YORK GRILL  HAZELWOOD	7441 N LINDBERGH BLVD
NEW YORK GRILL VAILE	3805 VAILE AVE
NEW YORK GRILL DELLWOOD	9901 W FLORISSANT AVE
C & K BARBECUE	4390 JENNINGS STATION RD
TACO BUDDHA BOTANICAL HEI	1634 TOWER GROVE AVE
ZIAS	5256 WILSON AVE.
CHUCKS HOT CHICKEN KINGSH	3155 S KINGSHIGHWAY BLVD
SASSAFRAS@MOBOT	4344 SHAW BLVD
DRURY INN & SUITES #136	2111 SULPHUR AVE
CATERING ST LOUIS MAIN	2141 59TH ST
SLOANS PUB HOUSE	119 W MAIN ST
RIO GRANDE MX COCINA	47 LUDWIG DR
SHOGUN STKHSE - FVW HGHTS	314 FOUNTAINS PARKWAY
OLDE BRIDGE INN	519 N MAIN ST
TRES CAMINOS CASEYVILLE	601 N MAIN ST
LARKSPUR LAND STL RIVERPT	13639 RIVERPORT DRIVE
KOBE WESTPORT 2	645 WESTPORT PLAZA DRIVE
SUNRISE RESTAURANT	3500 N LINDBERGH BLVD
ROMA GROCERY CO	800 N 17TH STREET
COURTYARD DOWNTOWN STL	2340 MARKET ST
RONS HALL STREET	8430 HALL ST
MADISON COUNTY JAIL	405 RANDLE STREET
NORTH MAIN DINER	146 N MAIN ST
PALENQUE	101 N MAIN ST
NEW YORK GRILL FLOWER VAL	41 FLOWER VALLEY SHOPPING
BELLEVILLE SCHOOL D# 118	840 ROYAL HEIGHTS RD
MARIACHIS MILLSTADT	717 WEST WASHINGTON
BULLPEN INC	201 KASKASKIA ST
EL JACAL	1550 E STATE ROUTE 15
BACK STREET WINE AND DINE	310 EAST BACK STREET
AG FOREST PARK GOLF CLUB	6141 LAGOON DRIVE
PASTA HOUSE CO LADUE	8831 LADUE ROAD
TACO BUDDHA U CITY	7405 PERSHING AVE
ABELARDOS SAINT LOUIS	8307 PAGE AVE
UNIVERSITY CITY CHILDRENS	6646 VERNON AVE
SOMO FAMILY COURT STL CO	105 S CENTRAL AVE
AVENUE	12 NORTH MERAMEC AVE
CHRIST THE KING SCHOOL	7324 BALSON AVE
RAYS SPORTS HOUSE	1732 S 9TH ST
SMART KITCHEN SOLUTIONS	8025 MACKENZIE RD
AC ST MARYS CATHOLIC HS	4701 S GRAND BLVD
FSC 400 ST GABRIEL	4711 TAMM AVE
FRAZER'S RESTARANT	1811 PESTALOZZI ST
MARIACHIS II MEXICAN REST	4625 GRAVOIS AVE
SONESTA ES STS STL CHSTRF	15431 CONWAY RD
JERSEY MIKES #25003B	17273 CHESTERFIELD AIRPOR
FSC 436 ST ALBAN ROE	2005 SHEPARD RD
GO PLAY LLC	140 LONG RD STE 108
SUWALLER'S BAR & GRL	2101 N WARSON ROAD
PASTA HOUSE CO BALLAS	700 N NEW BALLAS RD
OISHI - BALLAS ROAD	721 N NEW BALLAS RD
DRURY PLAZA HOTEL #62	11980 OLIVE BLVD
CAE 905 BEAGLE	13444 BEAGLE LN
BRACKET CLUB	1030 WOODCREST TERRACE DR
KAUHALE CREVE COEUR LLC	450 N LINDBERGH BLVD
IMMANUEL LUTHERAN	9733 OLIVE
KYOTO STEAKHOUSE OF JAPAN	4054 N CLOVERLEAF DR
TWIN OAKS ESTATE INC	707 EMGE RD
CHUBBYS RESTAURANT	100 HIGHWAY C
CHIHUAHUA'S/TROY	101 N LINCOLN DR
DOS PRIMO TROY MO	25 THE LA PLAZA
BISON RIDGE SMOKEHOUSE AN	180 E CHERRY ST
MUSTANG SALLYS BAR AND GR	440 MAIN ST
TRAX PIZZA COMPANY	316 MAIN STREET
STL KOLACHE SUNSET HILLS	1530 S KIRKWOOD RD
VIANNEY HIGH SCHOOL	1311 KIRKWOOD ROAD
WESTBOROUGH CNTRY CLUB	631 S BERRY ROAD
CHUCKS HOT CHICKEN ROCK H	9816 MANCHESTER RD
HWY 61 ROADHOUSE	34 S OLD ORCHARD AVE
SAN JOSE	9570 WATSON RD
URBAN AIR SUNSET HILLS	10990 SUNSET HILLS PLAZA
HILTON ST LOUIS FRONTENAC	1335 S LINDBERGH BLVD
BRICKHOUSE BAR AND GRILL	866 SPARTA ST
TIFF'S CAFE LLC	102 E NORTH RAILROAD ST
CMPS GARDEN PL RED BUD	351 LOCKWOOD DR
DAVE AND JOYCES COUNTRY	509 N MAIN
DICARLOS PIZZA	1520 S MAIN
PRAIRIE DUROCHER SCHOOL	714 MIDDLE STREET
SPARTA COMMUNITY HOSP AMR	818 EAST BROADWAY
RANDOLPH COUNTY CARE CTR	312 W BELMONT
LOLLIES CAFE	1775 N MARKET ST
ROUTE 4 RESTAURANT	1705 NORTH MARKET
JALISCO	201 S MAIN ST
FLYING J #67400 WARRENTON	#1 CAMP BRANCH RD
CHILD EVANGELISM	17482 STATE HWY M
MR FUEL #71500 FORISTELL	11 HWY W
TA MAINT #0175990 FORISTE	3265 N SERVICE RD E
ROOKIES WENTZVILLE	15358 VETERANS MEMORIAL P
FSC 640 ST THDRE CATH SCH	5051 HIGHWAY P
LIVESTOCK BAR AND GRILL	101 N LOCUST ST
SUPER 8  WARRENTON	1429 NE SERVICE RD
SOCIAL HOUSE 227	227 E MAIN STREET
DOS PRIMOS MONTGOMERY CIT	209 STURGEON STREET
DRURY INN & SUITES #117	5 LAMBERT DRURY DR
ST LOUIS SOCCER PARK	1 SOCCER PARK RD
PEGGS RESTAURANT	1001 CROSSROADS PLACE
WASHINGTON PL AL	2800 RABBIT TRAIL DR.
ALDOS PIZZA	1201 JEFFERSON ST
WILLIAMS BROS MEAT MKT	607 W 5TH STREET
SWISS PROCESSING	2056 S HWY 19
RHINELAND POINTE RL	2120 VILLAGE LANE
STONE HILL WINERY	1110 STONE HILL HWY
4TH STREET PIZZA	113 E 4TH ST
ZYDECO	112 E 5TH ST
CHUCKS HOT CHICKEN ARNOLD	231 ARNOLD CROSSROADS
STL KOLACHE ARNOLD	1249 WATER TOWER PL
FSC 395 HLY FAMILY SCHOOL	2316 CHURCH RD
HOT SHOTS S LINDBERGH	7571 S LINDBERGH BLVD
WALLIS MOTO GRAY SUMMIT	3628 WEST OSAGE
MIYABI SUSHI BAR STKHSE	892 ARNOLD COMMONS DR
CAE #904 IMPERIAL	2862 SECKMAN RD
ST. CLAIR PLACE AL	160 CHARLES DR.
BLONDIES BREEZEWAY	515 HIBBARD ST
ST CLAIR NURSING CENTER	1035 PLAZA COURT NORTH
WALLIS MOTO ST CLAIR	1445 N MAIN ST
WILLOW BROOKE	1 POTOMEC COURT
UNION POINTE AL	1320 W. MAIN ST.
THUNDER ALLEY OWENSVILLE	1011 HWY 19
FIONAS FAMILY REST	595 E EDWARDSVILLE RD
SPARKYS WR	1112 MADISON ST
JULIAS CATERING ALTON	101 EASTGATE PLZ
JOSEPHINES TEA ROOM	6109 GODFREY RD
TONYS RANCH HOUSE	3330 GODFREY RD
LOADING DOCK	400 FRONT ST
THOMAS H BOYD MEM HOSPITL	800 SCHOOL ST
OUR LADY QUEEN OF PEACE	132 BUTCHER ST
16 BAR AND GRILL	264 E RAILROAD ST
HAWTHORN TREE	242 E SIDE SQ
MAVERICK	201 OHREN DR
THE LUNCH COMPANY	102 N 2ND ST
KAHUNAS BURGERS	104 W HARRIS AVE
LOS AMIGOS GREENVILLE	1745 STATE RD ROUTE 127
CYGAN DELANEY CATERING	808 BROADWAY
DON OLE	721 BROADWAY
FIESTA BRAVA	12621 IL-143
DUDS	413 E CENTRAL AVE
RED ROOSTER BREW WORKS	123 E SEWARD ST
PASTA HOUSE FESTUS	1606 GALEMORE
POGOLINOS/FESTUS	29 EAST MAIN STREET
KETTELHUTS SMOKEHOUSE	1267 NORTH TRUMAN BLVD
PILOT #71800	8915 WEIER RD
1037 JEFFERSON COLLEGE	1000 VIKING DR
SAUCY'S PIZZA HILLSBORO	10859 OLD HWY 21
AMERICAN KOLACHE OFALLON	521 W HIGHWAY 50
TIOS	204 SCOTT TROY RD
